id,university,country,addr,latitude,longitude,n,prop
57,Universidad Peruana Cayetano Heredia,Peru,"Universidad Peruana Cayetano Heredia, Peru",-12.08081,-77.05067,1,1.0309278350515463
58,PSYCOPERU,Peru,"PSYCOPERU, Peru",-12.05798,-77.03713,1,1.0309278350515463
59,Pontifical Catholic University of São Paulo,Brazil,"Pontifical Catholic University of São Paulo, Brazil",-23.5594444274902,-46.7238883972168,1,1.0309278350515463
60,Alliant International University,United States,"Alliant International University, United States",36.7659797668457,-119.720008850098,2,2.0618556701030926
61,University of California,United States,"University of California, United States",37.8051109313965,-122.267456054688,1,1.0309278350515463
62,Royal Commission for Jubail and Yanbu,Saudi Arabia,"Royal Commission for Jubail and Yanbu, Saudi Arabia",27.07602,49.594970000000004,1,1.0309278350515463
63,Aarhus University,Denmark,"Aarhus University, Denmark",56.1722030639648,10.1903324127197,1,1.0309278350515463
64,National Cheng Kung University,Taiwan,"National Cheng Kung University, Taiwan",22.99632,120.21526,1,1.0309278350515463
65,Monash University,Australia,"Monash University, Australia",-37.8768005371094,145.044021606445,1,1.0309278350515463
66,Utrecht University,Netherlands,"Utrecht University, Netherlands",52.09168,5.12036,1,1.0309278350515463
67,Akal University,India,"Akal University, India",-4.2979040145874,139.676071166992,1,1.0309278350515463
68,Ahmedabad University,India,"Ahmedabad University, India",23.0389995574951,72.5559997558594,1,1.0309278350515463
69,Technical University of Munich,Germany,"Technical University of Munich, Germany",48.1495475769043,11.5677652359009,1,1.0309278350515463
70,Carleton University,Canada,"Carleton University, Canada",45.3862266540527,-75.6962432861328,1,1.0309278350515463
71,São Francisco University,Brazil,"São Francisco University, Brazil",-10.3333330154419,-53.2000007629395,2,2.0618556701030926
72,Kingston University London,United Kingdom,"Kingston University London, United Kingdom",51.4031867980957,-0.303342998027802,1,1.0309278350515463
73,São Francisco University,Brazil,"São Francisco University, Brazil",-10.3333330154419,-53.2000007629395,2,2.0618556701030926
74,Brown University,United States,"Brown University, United States",41.8281936645508,-71.39990234375,1,1.0309278350515463
75,Sapienza University of Rome,Italy,"Sapienza University of Rome, Italy",41.9032135009766,12.5153961181641,1,1.0309278350515463
76,University of São Paulo,Brazil,"University of São Paulo, Brazil",-23.5594444274902,-46.7238883972168,4,4.123711340206185
77,University of Maryland,United States,"University of Maryland, United States",38.9861030578613,-76.9372863769531,1,1.0309278350515463
78,University of Minnesota,United States,"University of Minnesota, United States",44.9975662231445,-93.1847381591797,1,1.0309278350515463
79,University of Cincinnati,United States,"University of Cincinnati, United States",39.1319694519043,-84.5157775878906,1,1.0309278350515463
80,Masaryk University,Czech Republic,"Masaryk University, Czech Republic",50.08781,14.42046,1,1.0309278350515463
81,New York University,United States,"New York University, United States",40.7304573059082,-73.9985275268555,2,2.0618556701030926
82,American University of Beirut,Lebanon,"American University of Beirut, Lebanon",33.90169,35.47816,1,1.0309278350515463
83,University of Sydney,Australia,"University of Sydney, Australia",-33.866813659668,151.160934448242,1,1.0309278350515463
