id,university,country,latitude_uni,longitude_uni,latitude_country,longitude_country
79,University of Cincinnati,United States,39.1318613,39.1318613,39.7837304,-100.445882
80,Masaryk University,Czech Republic,49.198657,49.198657,49.8167003,15.4749544
81,New York University,United States,40.72925325,40.72925325,39.7837304,-100.445882
82,American University of Beirut,Lebanon,33.9000264,33.9000264,33.8750629,35.843409
83,University of Sydney,Australia,-33.89593915,-33.89593915,-24.7761086,134.755
84,University of São Paulo,Brazil,-23.56096405,-23.56096405,-10.3333333,-53.2
85,DanKook University,South Corea,37.319288,37.319288,-11.7175813,-66.0316428
86,Harvard University,United States,42.36790855,42.36790855,39.7837304,-100.445882
87,Centro Escolar University,Philippines,14.598798550000001,14.598798550000001,12.7503486,122.7312101
88,Royal Holloway University,United Kingdom,51.4252783,51.4252783,54.7023545,-3.2765753
89,Universidad Nacional Autónoma de México UNAM,Mexico,19.32160295,19.32160295,23.553556999999998,-102.26751579375113
90,University of Cologne,Germany,50.928038900000004,50.928038900000004,51.0834196,10.4234469
91,Vrije Universiteit Amsterdam,Netherlands,52.33396225,52.33396225,52.15517,5.38721
92,"ISCTE-IUL, Portugal",Portugal,38.7485846,38.7485846,40.0332629,-7.8896263
93,University of Tennessee,United States,35.9516352,35.9516352,39.7837304,-100.445882
94,University of São Paulo,Brazil,-23.56096405,-23.56096405,-10.3333333,-53.2
95,Federal University of Pernambuco,Brazil,-8.052423600000001,-8.052423600000001,-10.3333333,-53.2
96,Harvard Medical School,United States,42.33597,42.33597,39.7837304,-100.445882
97,University of São Paulo,Brazil,-23.56096405,-23.56096405,-10.3333333,-53.2
